# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 66K of event 'cycles:P'
# Event count (approx.): 62401597400
#
# Overhead  Command          Shared Object                                        Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
# ........  ...............  ...................................................  .........................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
     5.85%  python           libscipy_openblas-68440149.so                        [.] blas_thread_server
     1.78%  python           libpython3.10.so.1.0                                 [.] _PyEval_EvalFrameDefault
     1.75%  python           libpython3.10.so.1.0                                 [.] gc_collect_main
     1.62%  python           cv2.abi3.so                                          [.] 0x000000000249cafa
     1.52%  mediapipe/39531  _framework_bindings.cpython-310-x86_64-linux-gnu.so  [.] xnn_f32_gemm_minmax_ukernel_5x16__fma3_broadcast
     1.50%  mediapipe/39529  _framework_bindings.cpython-310-x86_64-linux-gnu.so  [.] xnn_f32_gemm_minmax_ukernel_5x16__fma3_broadcast
     1.48%  mediapipe/39524  _framework_bindings.cpython-310-x86_64-linux-gnu.so  [.] xnn_f32_gemm_minmax_ukernel_5x16__fma3_broadcast
     1.46%  mediapipe/39527  _framework_bindings.cpython-310-x86_64-linux-gnu.so  [.] xnn_f32_gemm_minmax_ukernel_5x16__fma3_broadcast
     1.44%  mediapipe/39525  _framework_bindings.cpython-310-x86_64-linux-gnu.so  [.] xnn_f32_gemm_minmax_ukernel_5x16__fma3_broadcast
     1.34%  mediapipe/39533  _framework_bindings.cpython-310-x86_64-linux-gnu.so  [.] xnn_f32_gemm_minmax_ukernel_5x16__fma3_broadcast
     1.30%  mediapipe/39532  _framework_bindings.cpython-310-x86_64-linux-gnu.so  [.] xnn_f32_gemm_minmax_ukernel_5x16__fma3_broadcast
     1.22%  mediapipe/39530  _framework_bindings.cpython-310-x86_64-linux-gnu.so  [.] xnn_f32_gemm_minmax_ukernel_5x16__fma3_broadcast
     1.11%  mediapipe/39528  _framework_bindings.cpython-310-x86_64-linux-gnu.so  [.] xnn_f32_gemm_minmax_ukernel_5x16__fma3_broadcast
     1.07%  mediapipe/39535  _framework_bindings.cpython-310-x86_64-linux-gnu.so  [.] xnn_f32_gemm_minmax_ukernel_5x16__fma3_broadcast
     1.04%  mediapipe/39526  _framework_bindings.cpython-310-x86_64-linux-gnu.so  [.] xnn_f32_gemm_minmax_ukernel_5x16__fma3_broadcast
     1.03%  mediapipe/39534  _framework_bindings.cpython-310-x86_64-linux-gnu.so  [.] xnn_f32_gemm_minmax_ukernel_5x16__fma3_broadcast
     0.76%  mediapipe/39538  _framework_bindings.cpython-310-x86_64-linux-gnu.so  [.] xnn_f32_gemm_minmax_ukernel_5x16__fma3_broadcast
     0.74%  mediapipe_gl_ru  _framework_bindings.cpython-310-x86_64-linux-gnu.so  [.] void cv::remapBilinear<cv::FixedPtCast<int, unsigned char, 15>, cv::RemapVec_8u<false>, short, false>(cv::Mat const&, cv::Mat&, cv::Mat const&, cv::Mat const&, void const*, int, cv::Scalar_<double> const&, cv::Point_<int> const&)
     0.71%  mediapipe/39549  _framework_bindings.cpython-310-x86_64-linux-gnu.so  [.] xnn_f32_gemm_minmax_ukernel_5x16__fma3_broadcast
     0.70%  mediapipe/39548  _framework_bindings.cpython-310-x86_64-linux-gnu.so  [.] xnn_f32_gemm_minmax_ukernel_5x16__fma3_broadcast
     0.64%  mediapipe/39540  _framework_bindings.cpython-310-x86_64-linux-gnu.so  [.] xnn_f32_gemm_minmax_ukernel_5x16__fma3_broadcast
     0.61%  mediapipe/39527  _framework_bindings.cpython-310-x86_64-linux-gnu.so  [.] xnn_f32_dwconv_minmax_ukernel_5f5m5l8c8s4r__fma3
     0.58%  mediapipe/39544  _framework_bindings.cpython-310-x86_64-linux-gnu.so  [.] xnn_f32_gemm_minmax_ukernel_5x16__fma3_broadcast
     0.58%  mediapipe/39529  _framework_bindings.cpython-310-x86_64-linux-gnu.so  [.] xnn_f32_dwconv_minmax_ukernel_5f5m5l8c8s4r__fma3
     0.58%  mediapipe/39533  _framework_bindings.cpython-310-x86_64-linux-gnu.so  [.] xnn_f32_dwconv_minmax_ukernel_5f5m5l8c8s4r__fma3
     0.56%  mediapipe/39531  _framework_bindings.cpython-310-x86_64-linux-gnu.so  [.] xnn_f32_dwconv_minmax_ukernel_5f5m5l8c8s4r__fma3
     0.55%  mediapipe/39541  _framework_bindings.cpython-310-x86_64-linux-gnu.so  [.] xnn_f32_gemm_minmax_ukernel_5x16__fma3_broadcast
     0.55%  mediapipe/39525  _framework_bindings.cpython-310-x86_64-linux-gnu.so  [.] xnn_f32_dwconv_minmax_ukernel_5f5m5l8c8s4r__fma3
     0.52%  mediapipe/39542  _framework_bindings.cpython-310-x86_64-linux-gnu.so  [.] xnn_f32_gemm_minmax_ukernel_5x16__fma3_broadcast
     0.52%  mediapipe/39543  _framework_bindings.cpython-310-x86_64-linux-gnu.so  [.] xnn_f32_gemm_minmax_ukernel_5x16__fma3_broadcast
     0.52%  mediapipe/39530  _framework_bindings.cpython-310-x86_64-linux-gnu.so  [.] xnn_f32_dwconv_minmax_ukernel_5f5m5l8c8s4r__fma3
     0.52%  mediapipe/39547  _framework_bindings.cpython-310-x86_64-linux-gnu.so  [.] xnn_f32_gemm_minmax_ukernel_5x16__fma3_broadcast
     0.50%  mediapipe/39539  _framework_bindings.cpython-310-x86_64-linux-gnu.so  [.] xnn_f32_gemm_minmax_ukernel_5x16__fma3_broadcast
     0.49%  mediapipe/39526  _framework_bindings.cpython-310-x86_64-linux-gnu.so  [.] xnn_f32_dwconv_minmax_ukernel_5f5m5l8c8s4r__fma3
     0.48%  python           [unknown]                                            [k] 0xffffffff8e104109
     0.48%  mediapipe/39545  _framework_bindings.cpython-310-x86_64-linux-gnu.so  [.] xnn_f32_gemm_minmax_ukernel_5x16__fma3_broadcast
     0.48%  python           [unknown]                                            [k] 0xffffffff8e10410b
     0.47%  mediapipe/39528  _framework_bindings.cpython-310-x86_64-linux-gnu.so  [.] xnn_f32_dwconv_minmax_ukernel_5f5m5l8c8s4r__fma3
     0.47%  mediapipe/39532  _framework_bindings.cpython-310-x86_64-linux-gnu.so  [.] xnn_f32_dwconv_minmax_ukernel_5f5m5l8c8s4r__fma3
     0.45%  mediapipe/39535  _framework_bindings.cpython-310-x86_64-linux-gnu.so  [.] xnn_f32_dwconv_minmax_ukernel_5f5m5l8c8s4r__fma3
     0.45%  mediapipe/39524  _framework_bindings.cpython-310-x86_64-linux-gnu.so  [.] xnn_f32_dwconv_minmax_ukernel_5f5m5l8c8s4r__fma3
     0.40%  python           ld-linux-x86-64.so.2                                 [.] _dl_lookup_symbol_x
     0.40%  python           libpython3.10.so.1.0                                 [.] visit_reachable
     0.39%  mediapipe/39546  _framework_bindings.cpython-310-x86_64-linux-gnu.so  [.] xnn_f32_gemm_minmax_ukernel_5x16__fma3_broadcast
     0.36%  mediapipe/39534  _framework_bindings.cpython-310-x86_64-linux-gnu.so  [.] xnn_f32_dwconv_minmax_ukernel_5f5m5l8c8s4r__fma3
     0.35%  mediapipe_gl_ru  _framework_bindings.cpython-310-x86_64-linux-gnu.so  [.] cv::RemapVec_8u<false>::operator()(cv::Mat const&, void*, short const*, unsigned short const*, void const*, int, cv::Point_<int> const&) const
     0.35%  mediapipe_gl_ru  _framework_bindings.cpython-310-x86_64-linux-gnu.so  [.] cv::opt_SSE4_1::WarpPerspectiveLine_SSE4_Impl::process(double const*, short*, short*, double, double, double, int)
     0.35%  python           libpython3.10.so.1.0                                 [.] visit_decref
     0.34%  python           [unknown]                                            [k] 0xffffffff8e3f753e
     0.28%  python           libpython3.10.so.1.0                                 [.] lookdict_unicode_nodummy
     0.27%  python           [unknown]                                            [k] 0xffffffff8e3edf77
     0.24%  python           libc.so.6                                            [.] __sched_yield
     0.24%  mediapipe/39549  _framework_bindings.cpython-310-x86_64-linux-gnu.so  [.] xnn_f32_dwconv_minmax_ukernel_9p16c__fma3
     0.23%  python           [unknown]                                            [k] 0xffffffff8e000080
     0.23%  python           libpython3.10.so.1.0                                 [.] lookdict_unicode
     0.21%  mediapipe/39538  _framework_bindings.cpython-310-x86_64-linux-gnu.so  [.] xnn_f32_dwconv_minmax_ukernel_9p16c__fma3
     0.21%  python           ld-linux-x86-64.so.2                                 [.] do_lookup_x
     0.20%  mediapipe/39548  _framework_bindings.cpython-310-x86_64-linux-gnu.so  [.] xnn_f32_dwconv_minmax_ukernel_9p16c__fma3
     0.20%  python           libpython3.10.so.1.0                                 [.] _PyEval_MakeFrameVector
     0.20%  python           libpython3.10.so.1.0                                 [.] _PyObject_Free
     0.20%  python           libpython3.10.so.1.0                                 [.] dict_traverse
     0.19%  python           libpython3.10.so.1.0                                 [.] func_traverse
     0.19%  python           libpython3.10.so.1.0                                 [.] frame_dealloc
     0.19%  mediapipe/39540  _framework_bindings.cpython-310-x86_64-linux-gnu.so  [.] xnn_f32_dwconv_minmax_ukernel_9p16c__fma3
     0.19%  python           libpython3.10.so.1.0                                 [.] r_object
     0.19%  mediapipe_gl_ru  [unknown]                                            [k] 0xffffffff8e43ad5a
     0.19%  python           libpython3.10.so.1.0                                 [.] sre_ucs1_match
     0.19%  python           [unknown]                                            [k] 0xffffffff8e3ee0c4
     0.19%  python           [unknown]                                            [k] 0xffffffff8e104104
     0.18%  python           [unknown]                                            [k] 0xffffffff8e43ad5a
     0.18%  python           libpython3.10.so.1.0                                 [.] _PyType_Lookup
     0.17%  python           libpython3.10.so.1.0                                 [.] tupledealloc
